protocol,srcPort,srcIP,destPort,destIP,isMalicious,action,ruleMatch,ruleSeverity
TCP,63152,192.168.1.10,443,104.18.19.125,true,false,true,MEDIUM
TCP,63152,192.168.1.10,443,104.18.19.125,true,false,true,MEDIUM
TCP,443,104.18.19.125,63152,192.168.1.10,true,false,true,MEDIUM
TCP,443,104.18.19.125,63152,192.168.1.10,true,false,true,MEDIUM
TCP,443,104.18.19.125,63152,192.168.1.10,true,false,true,MEDIUM
UDP,50742,192.168.1.10,443,172.217.168.174,false,true,false,MEDIUM
TCP,63152,192.168.1.10,443,104.18.19.125,true,false,true,MEDIUM
UDP,443,172.217.168.174,50742,192.168.1.10,false,false,false,MEDIUM
UDP,443,172.217.168.174,50742,192.168.1.10,false,false,false,MEDIUM
UDP,443,172.217.168.174,50742,192.168.1.10,false,false,false,MEDIUM
UDP,50742,192.168.1.10,443,172.217.168.174,false,true,false,MEDIUM
UDP,443,172.217.168.174,50742,192.168.1.10,false,false,false,MEDIUM
UDP,5353,fe80:0:0:0:bf80:2897:c5fa:fbe0,5353,ff02:0:0:0:0:0:0:fb,false,true,false,MEDIUM
UDP,5353,192.168.1.4,5353,224.0.0.251,false,true,false,MEDIUM
UDP,5353,fe80:0:0:0:bf80:2897:c5fa:fbe0,5353,ff02:0:0:0:0:0:0:fb,false,true,false,MEDIUM
UDP,5353,192.168.1.4,5353,224.0.0.251,false,false,false,MEDIUM
TCP,63152,192.168.1.10,443,104.18.19.125,true,false,true,MEDIUM
TCP,63152,192.168.1.10,443,104.18.19.125,true,false,true,MEDIUM
TCP,443,104.18.19.125,63152,192.168.1.10,true,false,true,MEDIUM
TCP,443,104.18.19.125,63152,192.168.1.10,true,false,true,MEDIUM
TCP,443,104.18.19.125,63152,192.168.1.10,true,false,true,MEDIUM
TCP,63152,192.168.1.10,443,104.18.19.125,true,false,true,MEDIUM
TCP,63152,192.168.1.10,443,104.18.19.125,true,false,true,MEDIUM
TCP,63152,192.168.1.10,443,104.18.19.125,true,false,true,MEDIUM
TCP,443,104.18.19.125,63152,192.168.1.10,true,false,true,MEDIUM
TCP,443,104.18.19.125,63152,192.168.1.10,true,false,true,MEDIUM
TCP,443,104.18.19.125,63152,192.168.1.10,true,false,true,MEDIUM
TCP,63152,192.168.1.10,443,104.18.19.125,true,false,true,MEDIUM
TCP,63152,192.168.1.10,443,104.18.19.125,true,false,true,MEDIUM
TCP,63152,192.168.1.10,443,104.18.19.125,true,false,true,MEDIUM
TCP,443,104.18.19.125,63152,192.168.1.10,true,false,true,MEDIUM
TCP,443,104.18.19.125,63152,192.168.1.10,true,false,true,MEDIUM
TCP,443,104.18.19.125,63152,192.168.1.10,true,false,true,MEDIUM
TCP,63152,192.168.1.10,443,104.18.19.125,true,false,true,MEDIUM
UDP,46758,192.168.1.4,1900,239.255.255.250,false,false,false,MEDIUM
TCP,63849,192.168.1.10,443,52.109.28.54,true,false,true,MEDIUM
TCP,63854,192.168.1.10,443,52.109.72.2,true,false,true,MEDIUM
TCP,443,52.109.72.2,63854,192.168.1.10,true,false,true,MEDIUM
TCP,443,52.109.28.54,63849,192.168.1.10,true,false,true,MEDIUM
TCP,63152,192.168.1.10,443,104.18.19.125,true,false,true,MEDIUM
TCP,63152,192.168.1.10,443,104.18.19.125,true,false,true,MEDIUM
TCP,443,104.18.19.125,63152,192.168.1.10,true,false,true,MEDIUM
TCP,443,104.18.19.125,63152,192.168.1.10,true,false,true,MEDIUM
TCP,443,104.18.19.125,63152,192.168.1.10,true,false,true,MEDIUM
TCP,63152,192.168.1.10,443,104.18.19.125,true,false,true,MEDIUM
UDP,65300,192.168.1.10,53,192.168.1.1,false,true,false,MEDIUM
UDP,53,192.168.1.1,65300,192.168.1.10,true,false,true,MEDIUM
TCP,63961,192.168.1.10,443,52.109.76.243,true,false,true,MEDIUM
TCP,443,52.109.76.243,63961,192.168.1.10,true,false,true,MEDIUM
TCP,63961,192.168.1.10,443,52.109.76.243,true,false,true,MEDIUM
TCP,63961,192.168.1.10,443,52.109.76.243,true,false,true,MEDIUM
TCP,443,52.109.76.243,63961,192.168.1.10,true,false,true,MEDIUM
TCP,443,52.109.76.243,63961,192.168.1.10,true,false,true,MEDIUM
TCP,63961,192.168.1.10,443,52.109.76.243,true,false,true,MEDIUM
TCP,443,52.109.76.243,63961,192.168.1.10,true,false,true,MEDIUM
TCP,443,52.109.76.243,63961,192.168.1.10,true,false,true,MEDIUM
TCP,443,52.109.76.243,63961,192.168.1.10,true,false,true,MEDIUM
TCP,63961,192.168.1.10,443,52.109.76.243,true,false,true,MEDIUM
TCP,63961,192.168.1.10,443,52.109.76.243,true,false,true,MEDIUM
